Entity,Year,Mean BMI (male),Year,Mean BMI (female),Year,Daily caloric intake per person from fat,Daily caloric intake per person from carbohydrates
South Africa,2016.0,25.10522536,2016.0,29.59192125,,,
South Asia,2016.0,21.96124162,2016.0,22.33447245,,,
South Korea,2016.0,24.465566,2016.0,23.1632351,,,
Spain,2016.0,27.162678,2016.0,24.92999859,,,
Sri Lanka,2016.0,22.6383471,2016.0,23.83638768,,,
Sub-Saharan Africa,2016.0,22.36367784,2016.0,24.1457639,,,
Sudan,2016.0,23.29135867,2016.0,26.12280796,,,
Suriname,2016.0,25.49760616,2016.0,27.91742678,,,
Sweden,2016.0,26.86405077,2016.0,25.45995973,,,
Switzerland,2016.0,26.8336985,2016.0,23.81875224,,,
Syria,2016.0,27.55826342,2016.0,29.48096759,,,
Taiwan,2016.0,25.14440355,2016.0,23.75069072,,,
Tajikistan,2016.0,26.00734586,2016.0,26.49672721,,,
Tanzania,2016.0,22.4032439,2016.0,24.15816268,,,
Thailand,2016.0,24.00077018,2016.0,25.11073257,,,
Togo,2016.0,22.58918749,2016.0,24.64166822,,,
Tokelau,2016.0,32.14489951,2016.0,33.82064025,,,
Tonga,2016.0,30.72340166,2016.0,34.00861159,,,
Trinidad and Tobago,2016.0,26.77531848,2016.0,28.88155719,,,
Tunisia,2016.0,25.72641503,2016.0,27.30753368,,,
Turkey,2016.0,27.27430057,2016.0,28.94223386,,,
Turkmenistan,2016.0,26.68355896,2016.0,26.80303559,,,
Tuvalu,2016.0,30.23321051,2016.0,31.87132991,,,
Uganda,2016.0,21.61129409,2016.0,23.34475139,,,
Ukraine,2016.0,27.08648953,2016.0,26.40652804,,,
United Arab Emirates,2016.0,28.18800439,2016.0,29.63816231,,,
United Kingdom,2016.0,27.47505756,2016.0,27.15190484,,,
United States,2016.0,29.01322022,2016.0,29.07070589,,,
Uruguay,2016.0,27.52969676,2016.0,27.55825768,,,
Uzbekistan,2016.0,26.48810362,2016.0,27.6582837,,,
Vanuatu,2016.0,25.71103043,2016.0,26.96518981,,,
Venezuela,2016.0,26.70960031,2016.0,26.93984073,,,
Vietnam,2016.0,21.97052794,2016.0,21.9405938,,,
World,2016.0,24.45710486,2016.0,24.7516059,,,
Yemen,2016.0,23.72669657,2016.0,24.19770906,,,
Zambia,2016.0,21.44802712,2016.0,23.83398161,,,
Zimbabwe,2016.0,22.30135343,2016.0,25.43148733,,,
,,,,,2016.0,374.19775,1662.958
,,,,,2016.0,473.69467,1817.7212
,,,,,2016.0,481.13998,1845.8201
,,,,,2016.0,1051.6487,1817.9792
,,,,,2016.0,914.0412,2184.5732
,,,,,2016.0,1118.7001,1779.9797
,,,,,2016.0,522.722,1657.5171
,,,,,2016.0,872.7938,1329.591
,,,,,2016.0,1066.4424,1754.0898
,,,,,2016.0,896.1666,1942.7239
,,,,,2016.0,680.553,1844.4967
,,,,,2016.0,685.62,1858.1799
,,,,,2016.0,1450.2323,1550.2096
,,,,,2016.0,1462.457,1762.017
,,,,,2016.0,627.65405,2084.783
,,,,,2016.0,825.3578,1363.3015
,,,,,2016.0,292.4834,1929.4531
,,,,,2016.0,850.6411,1804.5013
,,,,,2016.0,1132.281,1683.1165
,,,,,2016.0,1492.0437,1893.7584
,,,,,2016.0,644.4085,1761.6719
,,,,,2016.0,450.914,1939.5549
,,,,,2016.0,556.51624,1551.4617
,,,,,2016.0,762.3348,2068.105
,,,,,2016.0,574.99756,1499.2249
,,,,,2016.0,1118.6105,1732.915
,,,,,2016.0,822.5906,1622.7954
,,,,,2016.0,549.3534,1797.6113
,,,,,2016.0,138.25504,1400.2976
,,,,,2016.0,346.36676,2038.4641
,,,,,2016.0,521.8372,1947.7927
,,,,,2016.0,1427.6237,1679.7103
,,,,,2016.0,550.30493,1580.2413
,,,,,2016.0,671.94006,1856.9801
,,,,,2016.0,474.36255,1078.975
,,,,,2016.0,833.76,1846.32
,,,,,2016.0,845.55,1842.01
,,,,,2016.0,585.65985,1401.3663
,,,,,2016.0,819.9542,1849.2668
,,,,,2016.0,915.6133,1969.9192
,,,,,2016.0,913.23,1942.21
