Entity,Continent,,Cardiovascular diseases,High Body-Mass Index,Lack of Protein,High Fasting Plasma Glucose,Protein-Energy Malnutrition,Digestive Diseases
Mauritius,Africa,2.0,431.32642,110.01263,0.43,204.33449,0.25,41.62817
Mexico,North America,4.0,148.44194,93.95783,19.3,134.15395,10.23,61.93515
Moldova,Europe,3.0,622.2433,124.94557,0.19,103.97646,0.18,95.516975
Montenegro,Europe,3.0,383.9554,126.522514,0.23,124.33992,0.1,14.727762
Netherlands,Europe,3.0,174.07285,45.76597,0.03,53.834038,0.49,19.353796
New Zealand,Oceania,6.0,182.04431,56.623394,0.01,44.735397,0.13,12.023574
North Macedonia,Europe,3.0,458.725,166.761,0.12,207.23906,0.03,14.793321
Norway,Europe,3.0,180.9936,38.472134,0.01,59.486656,0.0,15.931363
Panama,North America,4.0,137.97401,39.154503,42.65,85.45952,7.91,19.316956
Paraguay,South America,5.0,155.70454,72.86667,13.58,81.71855,4.15,20.832073
Peru,South America,5.0,96.43279,43.621593,32.79,41.02778,9.42,34.511425
Philippines,Asia,1.0,326.4922,52.662365,17.59,113.141205,3.83,41.990475
Poland,Europe,3.0,332.57703,107.501976,0.08,93.16089,0.22,29.51254
Portugal,Europe,3.0,199.38426,58.73595,0.5,96.032616,0.7,24.686491
Puerto Rico,North America,4.0,154.79091,92.48625,0.4,119.21256,0.0,33.37321
Romania,Europe,3.0,497.814,135.00575,0.32,78.317505,0.2,49.03865
Saint Lucia,North America,4.0,171.73302,99.37833,6.94,172.52127,4.44,26.57419
Saint Vincent and the Grenadines,North America,4.0,240.14275,103.06905,17.0,202.70663,10.47,36.194653
Serbia,Europe,3.0,489.67435,150.50911,0.26,161.88734,0.06,24.70499
Singapore,Asia,1.0,189.36967,31.814669,0.01,70.8203,0.06,9.583622
Slovakia,Europe,3.0,397.6634,128.08232,0.07,90.052475,0.05,40.09683
Slovenia,Europe,3.0,232.4933,79.23527,0.02,69.522415,0.0,41.760357
South Africa,Africa,2.0,314.50928,159.00377,27.93,158.93846,6.23,39.138798
Spain,Europe,3.0,145.89314,53.233555,0.06,70.94193,0.36,24.48359
Sri Lanka,Asia,1.0,161.67302,53.26777,1.22,140.48047,0.59,29.022444
Suriname,South America,5.0,236.38187,94.786644,16.27,145.82852,3.26,43.299366
Sweden,Europe,3.0,187.6218,44.97177,0.02,54.011105,0.75,14.500412
Switzerland,Europe,3.0,153.11679,39.150753,0.01,51.255543,0.4,17.012535
Syria,Asia,1.0,401.13794,160.23601,3.64,191.38257,0.71,13.4673195
Tajikistan,Asia,1.0,397.4276,63.73424,3.8,86.10301,1.35,35.156384
Thailand,Asia,1.0,58.540257,40.025036,0.96,78.28529,1.5,15.53999
Trinidad and Tobago,North America,4.0,344.0034,164.80501,3.54,249.12103,2.85,31.504927
Turkmenistan,Asia,1.0,592.894,165.51735,0.83,98.68824,0.34,44.930264
Ukraine,Europe,3.0,593.6343,156.97504,1.35,101.22427,0.33,34.473183
United Kingdom,Europe,3.0,191.27956,58.03978,0.02,64.086876,0.1,23.70538
United States,North America,4.0,198.92432,76.892914,0.08,69.233986,1.41,20.4777
Uruguay,South America,5.0,196.2997,64.60807,4.9,40.523106,1.92,25.997694
Uzbekistan,Asia,1.0,578.819,182.7432,0.33,126.52631,0.16,50.096497
Venezuela,South America,5.0,231.7668,82.982635,23.12,112.97647,4.35,29.275145
Afghanistan,Asia,1.0,0.0,107.69141,63.82,229.35204,6.04,0.0
Algeria,Africa,2.0,0.0,123.968994,4.78,149.11536,0.64,0.0
Andorra,Europe,3.0,0.0,38.560593,0.01,29.614403,0.0,0.0
Angola,Africa,2.0,0.0,35.923344,270.08,126.551094,43.06,0.0
Bangladesh,Asia,1.0,0.0,17.313814,96.06,95.54288,11.42,0.0
Benin,Africa,2.0,0.0,67.95212,104.07,109.7541,19.91,0.0
Bermuda,North America,4.0,0.0,79.68664,0.57,81.15703,0.0,0.0
Bhutan,Asia,1.0,0.0,38.449028,29.9,67.67943,3.18,0.0
Bolivia,South America,5.0,0.0,86.425255,73.99,101.62187,14.55,0.0
Bosnia and Herzegovina,Europe,3.0,0.0,87.476006,0.01,97.80847,0.02,0.0
Botswana,Africa,2.0,0.0,134.50372,38.21,205.40504,8.88,0.0
Burkina Faso,Africa,2.0,0.0,38.465725,176.88,101.325966,22.96,0.0
Burundi,Africa,2.0,0.0,40.708023,193.59,120.30469,41.39,0.0
Cambodia,Asia,1.0,0.0,25.856358,56.74,97.54846,12.03,0.0
Cameroon,Africa,2.0,0.0,109.921234,41.18,128.45268,13.37,0.0
Cape Verde,Africa,2.0,0.0,48.188675,32.51,79.39164,2.25,0.0
Central African Republic,Africa,2.0,0.0,52.63283,141.75,160.73975,19.95,0.0
Chad,Africa,2.0,0.0,32.898323,246.56,101.10648,39.64,0.0
China,Asia,1.0,0.0,32.905075,9.21,72.641846,1.02,0.0
Comoros,Africa,2.0,0.0,60.17648,83.48,94.44362,23.3,0.0
Congo,Africa,2.0,0.0,114.22166,52.96,159.8191,14.49,0.0
Cook Islands,Oceania,6.0,0.0,204.12207,0.8,220.2001,0.0,0.0
Cote d'Ivoire,Africa,2.0,0.0,74.457886,42.88,122.550415,7.85,0.0
Democratic Republic of Congo,Africa,2.0,0.0,60.2481,153.59,118.43984,21.08,0.0
Djibouti,Africa,2.0,0.0,31.822126,258.13,96.290085,35.85,0.0
Dominica,North America,4.0,0.0,120.74773,5.61,160.7954,0.0,0.0
East Timor,Asia,1.0,0.0,15.597093,111.62,96.68076,20.64,0.0
Equatorial Guinea,Africa,2.0,0.0,57.952724,68.46,120.340515,16.58,0.0
Eritrea,Africa,2.0,0.0,50.199085,188.7,107.03532,38.12,0.0
Eswatini,Africa,2.0,0.0,247.76108,59.2,233.49773,12.93,0.0
Ethiopia,Africa,2.0,0.0,25.984163,204.13,106.28046,40.67,0.0
Fiji,Oceania,6.0,0.0,359.96942,11.12,462.14227,1.88,0.0
Gabon,Africa,2.0,0.0,120.55992,23.27,167.74722,8.06,0.0
Gambia,Africa,2.0,0.0,58.34174,64.53,86.206985,17.0,0.0
Ghana,Africa,2.0,0.0,68.79418,82.03,112.96768,12.59,0.0
Greenland,North America,4.0,0.0,109.08103,0.16,58.22443,0.0,0.0
Grenada,North America,4.0,0.0,98.620415,6.99,184.12108,2.36,0.0
Guam,Oceania,6.0,0.0,108.79136,4.0,97.3949,0.0,0.0
Guinea,Africa,2.0,0.0,52.490562,186.09,94.22196,18.41,0.0
Guinea-Bissau,Africa,2.0,0.0,68.07342,115.75,133.45985,18.64,0.0
Guyana,South America,5.0,0.0,173.67577,23.48,291.88586,9.18,0.0
Haiti,North America,4.0,0.0,66.27928,90.14,215.98619,11.62,0.0
Honduras,North America,4.0,0.0,73.55965,11.41,115.468834,6.12,0.0
India,Asia,1.0,0.0,34.127068,63.78,102.1118,6.12,0.0
Indonesia,Asia,1.0,0.0,39.114006,17.12,104.006676,6.66,0.0
Iran,Asia,1.0,0.0,93.41968,4.31,100.30866,0.48,0.0
Iraq,Asia,1.0,0.0,180.13235,6.95,203.92346,1.04,0.0
Jordan,Asia,1.0,0.0,177.1609,0.79,199.15593,0.32,0.0
Kenya,Africa,2.0,0.0,42.39404,66.14,73.44893,19.7,0.0
Kiribati,Oceania,6.0,0.0,332.67892,121.4,448.0603,16.42,0.0
Laos,Asia,1.0,0.0,46.059387,53.58,174.08427,7.73,0.0
Lebanon,Asia,1.0,0.0,109.02472,0.83,133.25745,0.17,0.0
Lesotho,Africa,2.0,0.0,110.29585,44.91,157.18542,10.45,0.0
Liberia,Africa,2.0,0.0,50.044746,135.36,116.24083,24.31,0.0
Libya,Africa,2.0,0.0,113.82684,1.05,117.6098,0.24,0.0
Madagascar,Africa,2.0,0.0,44.96737,223.55,92.60335,44.7,0.0
Malawi,Africa,2.0,0.0,47.771145,162.6,126.48819,27.73,0.0
Mali,Africa,2.0,0.0,46.568733,409.75,88.744286,48.86,0.0
Marshall Islands,Oceania,6.0,0.0,175.14563,19.98,330.4103,0.0,0.0
Mauritania,Africa,2.0,0.0,91.08604,74.14,81.99347,20.55,0.0
Micronesia (country),Oceania,6.0,0.0,263.91315,13.33,337.66354,5.32,0.0
Monaco,Europe,3.0,0.0,51.309612,0.01,33.941387,0.0,0.0
Mongolia,Asia,1.0,0.0,185.7548,0.66,73.54882,0.08,0.0
Morocco,Africa,2.0,0.0,115.448814,4.3,122.334274,1.13,0.0
Mozambique,Africa,2.0,0.0,30.489143,182.32,102.80839,27.7,0.0
Myanmar,Asia,1.0,0.0,37.99812,23.24,156.35931,4.74,0.0
Namibia,Africa,2.0,0.0,127.08146,44.51,180.13841,12.02,0.0
Nauru,Oceania,6.0,0.0,316.65842,47.1,386.5335,0.0,0.0
Nepal,Asia,1.0,0.0,18.902569,63.66,56.18127,8.09,0.0
Nicaragua,North America,4.0,0.0,80.75703,43.05,139.44643,5.76,0.0
Niger,Africa,2.0,0.0,39.76789,200.28,62.596973,38.24,0.0
Nigeria,Africa,2.0,0.0,48.805687,46.71,88.01519,5.77,0.0
Niue,Oceania,6.0,0.0,210.95241,17.56,289.81494,0.0,0.0
North Korea,Asia,1.0,0.0,27.897034,622.15,70.35337,199.21,0.0
Northern Mariana Islands,Oceania,6.0,0.0,169.08652,4.55,166.3838,0.0,0.0
Oman,Asia,1.0,0.0,169.41531,0.67,244.2322,0.13,0.0
Pakistan,Asia,1.0,0.0,57.61765,31.42,118.614426,5.91,0.0
Palau,Oceania,6.0,0.0,217.22787,2.37,274.5453,0.0,0.0
Palestine,Asia,1.0,0.0,123.04399,0.86,203.35721,0.0,0.0
Papua New Guinea,Oceania,6.0,0.0,86.55527,11.44,195.31052,2.13,0.0
Qatar,Asia,1.0,0.0,244.27847,0.36,332.23914,0.09,0.0
Rwanda,Africa,2.0,0.0,44.266205,174.76,129.83737,57.58,0.0
Saint Kitts and Nevis,North America,4.0,0.0,133.53001,15.7,199.49594,0.0,0.0
Samoa,Oceania,6.0,0.0,204.96336,5.44,247.81242,1.65,0.0
San Marino,Europe,3.0,0.0,35.00399,0.02,30.491152,0.0,0.0
Sao Tome and Principe,Africa,2.0,0.0,72.11194,40.99,94.41701,13.56,0.0
Saudi Arabia,Asia,1.0,0.0,163.83192,1.71,185.41779,0.55,0.0
Senegal,Africa,2.0,0.0,52.718872,45.87,114.75039,12.89,0.0
Seychelles,Africa,2.0,0.0,78.3665,0.92,117.05004,2.19,0.0
Sierra Leone,Africa,2.0,0.0,37.10188,257.76,70.15456,28.33,0.0
Solomon Islands,Oceania,6.0,0.0,232.20386,34.13,293.47122,4.04,0.0
Somalia,Africa,2.0,0.0,28.252089,285.45,113.78883,58.99,0.0
South Sudan,Africa,2.0,0.0,52.77373,423.04,87.38932,44.85,0.0
Sudan,Africa,2.0,0.0,99.55908,53.98,152.78127,8.67,0.0
Taiwan,Asia,1.0,0.0,45.375004,0.05,89.07852,0.0,0.0
Tanzania,Africa,2.0,0.0,50.988533,139.65,80.6102,27.18,0.0
Togo,Africa,2.0,0.0,56.143852,54.15,83.3181,10.48,0.0
Tokelau,Oceania,6.0,0.0,158.91989,14.32,232.67046,0.0,0.0
Tonga,Oceania,6.0,0.0,151.42018,11.21,199.27385,2.34,0.0
Tunisia,Africa,2.0,0.0,96.83569,1.25,134.35104,0.28,0.0
Turkey,Asia,1.0,0.0,102.55175,5.08,77.26906,0.75,0.0
Tuvalu,Oceania,6.0,0.0,183.48505,24.25,282.0457,0.0,0.0
Uganda,Africa,2.0,0.0,36.132195,108.2,124.72818,22.91,0.0
United Arab Emirates,Asia,1.0,0.0,259.64786,0.73,312.23514,0.06,0.0
United States Virgin Islands,North America,4.0,0.0,121.21022,3.18,128.96248,0.0,0.0
Vanuatu,Oceania,6.0,0.0,152.24606,24.67,208.39812,3.35,0.0
Vietnam,Asia,1.0,0.0,18.388775,0.89,103.61272,0.28,0.0
Yemen,Asia,1.0,0.0,65.25201,62.42,93.626785,9.82,0.0
Zambia,Africa,2.0,0.0,63.85057,132.9,132.37642,33.47,0.0
Zimbabwe,Africa,2.0,0.0,73.89146,33.47,133.23544,10.43,0.0
